selection1_name,selection1_location,selection1_date,selection1_Category
Auckland Go Green Expo 2023,Eventfinda Stadium,Sat 29 Apr 10:00am,"Lifestyle Shows, Expos"
ABBA - Live Tribute Gospel Concert,Alexandra Park Raceway,Today 7:00pm,"Covers, Tribute Bands"
Discipline Games 2023,Sir Woolf Fisher Arena Due Drop Events Centre,Sat 29 Apr 5:30am,Fitness
The Classic Comedy All-Stars: 2023!,The Classic Comedy Club,Fri 2 Jun 7:30pm,Comedy
Something & Social Bottomless* and Brunch,Something & Social,Today 10:00am,"Food, Gourmet, Wine"
Red Bar Comedy Showcase,Red Bar,Sat 6 May 7:45pm,Comedy
Pilkingtons Bottomless* and Lunch,Pilkingtons,Sat 6 May 12:00pm,"Food, Gourmet, Wine"
Saturday Night Candle-Making Workshops,Milford Shopping Centre,Sat 6 May 5:00pm,Education
"Madcap Showcase: Haze Lane, Fan Club, Pat & m8s",Cassette Number Nine,Today 12:00am,"Alternative, Indie"
Structure,Raye Freedman Arts Centre,Today 5:30pm,Dance
The Repeats,The Occidental Belgian Beer Café,Sat 29 Apr 10:00pm,"Covers, Tribute Bands"
The Repeats,The Occidental Belgian Beer Café,Sat 29 Apr 10:00pm,"Covers, Tribute Bands"
Dakota of the White Flats presented by Red Leap Theatre,Q Theatre,Tue 2 May 7:30pm,Theatre
Date Night in The Fringe District,Trinity Methodist Church,Sat 20 May 6:00pm,"Children, Kids, Holidays"
Be More Chill,Centrestage Theatre,Today 2:00pm,Musicals
Here's A How-De-Do,Torbay Community Hall,Today 2:00pm,Musicals
Robinhood Stars vs Avis Magic,Pulman Arena,Today 4:00pm,Netball
Music of the Month: Finn Andrews,Auckland Art Gallery Toi o Tāmaki,Today 2:00pm,Music Festivals
New Lynn Guided Walks - Free,New Lynn Station,Today 10:00am,"Conservation, Environment"
The Chuckle Monsters,Covert Theatre,Today 3:00pm,Theatre
Music of the Month,Auckland Art Gallery Toi o Tāmaki,Today 2:00pm,Music Festivals
Sunday the LaValla way - BBQ Edition,LaValla Estate,Today 12:00pm,"Food, Gourmet, Wine"
ACVC: Volleyball Training - Adult Beginners/Intermed/Advance,Auckland Grammar School,Today 7:00pm,Volleyball
Jester,Covert Theatre,Today 6:00pm,Theatre
Epic Presents... The Sunday Comedy Showcase,Win Win Retro Bar,Today 7:30pm,Comedy
"Soul-Feast Festival - Food, Music, Wisdom!",The Loft Yoga Lounge,Today 5:00pm,Festivals
Open Mic Fundraiser,Roundabout Bar,Today 2:00pm,Musicals
Auckland Pet & Animal Expo 2023,Auckland Showgrounds,Today 10:00am,"Lifestyle Shows, Expos"
Yoga and Art Immersion,Auckland Art Gallery Toi o Tāmaki,Today 9:00am,Mind & Body
How To Become An Entrepreneur: A Sunday Seminar,The Australasian Leadership Institute,Today 1:00pm,Family & Lifestyle
School of Rock - the Musical,Harlequin Musical Theatre,Today 7:30pm,Musicals
Auckland Eastern Market,Auckland Netball Centre,Today 7:00am,Festivals
Waiuku Steel 'N' Wheels Festival 2023,Waiuku Town Centre,Today 10:00am,Family Entertainment
Cancer Society Games Fair,The Cloud,Today 9:00am,"Games, Hobbies"
The Puhoi Village Market : CANCELLED,Puhoi Domain,Today 9:00am,Markets and Fairs
AYO - A Place of Quiet,Auckland Town Hall - Great Hall,Today 6:30pm,Classical Music
Have a Go at Curling (2023),Paradice Avondale,Today 5:45pm,"Indoor Bowls, Boccia"
The Groovediggers,Huapai Tavern,Today 3:00pm,Rock
Motuora Snorkel Day,Motuora Island,Today 9:30am,"Adventure, Extreme"
The Big Bike Film Night - Northcote: SOLD OUT,Bridgeway Cinemas,Today 6:00pm,Cycling
Auckland Romance Readers Book Club Meeting,Chapter Book and Tea Shop,Today 4:15pm,Literary
Free Yoga & Beach Clean-up event: CANCELLED,Castor Bay Beach,Today 9:30am,"Conservation, Environment"
Bubble Soccer in the Park: POSTPONED,Randwick Park,Today 10:00am,"Games, Carnivals"
Women's Comedy Workshop Series,"Tiny Theatre, Garnet Station",Today 1:00pm,Comedy
APO | APO 4 Kids Move & Groove,Auckland Town Hall - Great Hall,Today 10:00am,Family Entertainment
Sri Chinmoy Auckland Series 2023,Auckland Domain,Today 7:45am,Fun Runs & Walks
Jazz and Easy Listening with The Society Jazzmen,De Fontein,Today 4:00pm,Jazz
Manurewa Market,Manurewa Market,Today 7:00am,Markets and Fairs
Free Sunday Yoga,The Loft Yoga Lounge,Today 4:00pm,Festivals
