,JUNWE(1-3),JUNWK(4-7),JUNWE(8-10),JUNWK(11-14),JUNWE(15-17),JUNWE(18-22),JUNWK(23-25),JUNWK(26-29),JUNWK(30-2),JULWK(3-6),JULWK(7-9),JULWK(10-13),JULWK(14-16),JULWK(17-20),JULWK(21-23),JULWK(24-27),JULWK(28-30),JULWK(31-3),AUGWK(4-6),AUGWK(7-10),AUGWK(11-13),AUGWK(14-17),AUGWK(18-20),AUGWK(21-24),AUGWE(25-27),AUGWK(28-31),SEPWK(1-3),SEPWK(4-7),SEPWK(8-10),SEPWK(11-14),SEPWK(15-17),SEPWK(18-21),SEPWK(22-24),SEPWK(25-28),SEPWK(29-1),OCTWK(2-5),OCTWK(6-8),OCTWK(9-12),OCTWK(13-15),OCTWK(16-19),OCTWK(20-22),OCTWK(23-26),OCTWK(27-29),OCTWK(30-2),NOVWK(3-5),NOVWK(6-9),NOVWK(10-12),NOVWK(13-16),NOVWK(17-19),NOVWK(20-23),NOVWK(24-26),NOVWK(27-30),DECWK(1-3),DECWK(4-7),DECWK(8-10),DECWK(11-14),DECWK(15-17),DECWK(18-21),DECWK(22-24),DECWK(25-28),DECWK(29-31),JANWK(1-4),JANWK(5-7),JANWK(8-11),JANWK(12-14),JANWK(15-18),JANWK(19-21),JANWK(22-25),JANWK(26-28),JANWK(29-1),FEBWK(2-4),FEBWK(5-8),FEBWK(9-11),FEBWK(12-15),FEBWK(16-18),FEBWK(19-22),FEBWK(23-25),FEBWK(26-29),MARWK(1-3),MARWK(4-7),MARWK(8-10),MARWK(11-14),MARWK(15-17),MARWK(18-21),MARWK(22-24),MARWK(25-28),MARWK(29-31),APRWK(1-4),APRWK(5-7),APRWK(8-11),APRWK(12-14),APRWK(15-18),APRWK(19-21),APRWK(22-25),APR27_FR,APR28_SA,APR29_SU,APR30_MO,MAY01_TU,MAY02_WE,MAY03_TH,MAY04_FR,MAY05_SA,MAYWK(06-08),MAYWE(09-11),MAYWK(12-15),MAYWE(16-18),MAYWK(19-22),MAYWE(23-25),MAYWK(26-29),JUNWE(30-01),JUNWK(02-05),JUNWE(06-08),JUNWK(09-12),JUNWE(13-15),JUNWK(16-20),JUNWE(21-23),JUNWK(24-27),JUNWE(28-30),JULWK(01-04),JULWE(05-07),JULWK(08-11),JULWE(12-14),JULWK(15-18),JULWE(19-21),JULWK(22-25),JULWE(26-28),JULWK(29-01),AUGWE(02-04),AUGWK(05-08),AUGWE(09-11),AUGWK(12-15),AUGWE(16-18),AUGWK(19-22),AUGWE(23-25),AUGWK(26-29),SEPWE(30-01),SEPWK(02-05),SEPWE(06-08),SEPWK(09-12),SEPWE(13-15),SEPWK(16-19),SEPWE(20-22),SEPWK(23-26),SEPWE(27-29),OCTWK(30-03),OCTWE(04-06),OCTWK(07-10),OCTWE(11-13),OCTWK(14-17),OCTWE(18-20),OCTWK(21-24),OCTWE(25-27),OCTWK(28-31),NOVWE(01-03),NOVWK(04-07),NOVWE(08-10),NOVWK(11-14),NOVWE(15-17),NOVWK(18-21),NOVWE(22-24),NOVWK(25-28),DECWE(29-01),DECWK(02-05),DECWE(06-08),DECWK(09-12),DECWE(13-15),DECWK(16-19),DECWE(20-22),DECWK(23-26),DECWE(27-29),JANWK(30-02),JANWE(03-05),JANWK(06-09),JANWE(10-12),JANWK(13-16),JANWE(17-19),JANWK(20-23),JANWE(24-26),JANWK(27-30),FEBWE(31-02),FEBWK(03-06),FEBWE(07-09),FEBWK(10-13),FEBWE(14-16),FEBWK(17-20),FEBWE(21-23),FEBWK(24-27),MARWE(28-02),MARWK(03-06),MARWE(07-09),MARWK(10-13),MARWE(14-16),MARWK(17-20),MARWE(21-23),MARWK(24-27),MARWE(28-30),APRWK(31-03),APRWE(04-06),APRWK(07-10),APRWE(11-13),APRWK(14-17),APRWE(18-20),APRWK(21-24)
Mini (Suzuki Celerio),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Compact (Fiat Panda),102%,102%,90%,90%,50%,50%,43%,43%,10%,10%,0%,10%,14%,19%,19%,14%,19%,14%,14%,10%,10%,2%,2%,2%,5%,5%,5%,5%,5%,10%,5%,5%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Compact (Suzuki Swift),76%,76%,88%,88%,82%,79%,86%,86%,81%,81%,71%,73%,90%,86%,73%,67%,50%,29%,29%,29%,29%,14%,43%,43%,43%,43%,29%,14%,71%,71%,43%,86%,80%,57%,57%,86%,86%,43%,43%,43%,43%,57%,43%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Compact (Suzuki Baleno),97%,97%,30%,30%,20%,29%,38%,38%,11%,11%,13%,19%,23%,16%,17%,11%,11%,13%,13%,15%,15%,9%,2%,2%,4%,8%,5%,1%,5%,2%,0%,0%,0%,0%,0%,0%,0%,2%,2%,2%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Family (Fiat Tipo),88%,88%,15%,15%,23%,8%,15%,15%,23%,23%,31%,69%,85%,69%,85%,92%,100%,85%,85%,96%,96%,100%,69%,69%,15%,8%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,8%,8%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Family (Fiat Tipo Automatic),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Family (Citroen C-Elysee),200%,200%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
SUV (Suzuki Vitara),92%,92%,83%,83%,67%,86%,92%,92%,70%,70%,70%,30%,30%,30%,30%,30%,30%,20%,20%,30%,30%,30%,30%,30%,30%,30%,40%,60%,20%,20%,20%,20%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
SUV (Suzuki Vitara Automatic),110%,110%,80%,80%,60%,100%,80%,80%,0%,0%,0%,0%,0%,0%,14%,0%,14%,14%,14%,0%,0%,14%,14%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Luxury (BMW 116),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
