"Channel","Company","Category","PickupDate","DropoffDate","Duration","PickupLocation","DropoffLocation","Daily Rate","TotalRate"
"DiscoverCars","Drive On","COMPACT (Opel Astra SW (CWMR))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","26,60 €","79,80 €"
"DiscoverCars","Right Cars","COMPACT (Renault Megane STW (CWMR))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","115,51 €","346,52 €"
"DiscoverCars","Greenmotion","COMPACT (Fiat Tipo STW (CWMR))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","15,40 €","46,20 €"
"DiscoverCars","Berent","INTERMEDIATE (Renault Megane Grandtour (IWMR))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","18,38 €","55,13 €"
"DiscoverCars","Carwiz","COMPACT (Fiat Tipo STW (CWMR))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","31,34 €","94,02 €"
"DiscoverCars","Surprice","ECONOMY (Ford Focus STW (EWMV))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","15,79 €","47,38 €"
"DiscoverCars","Crc","COMPACT (Peugeot 308 STW (CWMR))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","63,06 €","189,17 €"
"DiscoverCars","Rentauto","INTERMEDIATE (Peugeot 308 SW Estate (IWMV))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","64,86 €","194,57 €"
"DiscoverCars","Surprice","ECONOMY (Renault Megane STW (EWMR))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","15,79 €","47,38 €"
"DiscoverCars","Klass Wagen","COMPACT (Kia Ceed STW (CWMR))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","15,47 €","46,42 €"
"DiscoverCars","Europcar","COMPACT (Fiat Tipo STW (CWMR))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","35,89 €","107,68 €"
"DiscoverCars","Enterprise","COMPACT (Renault Megane STW (CWMR))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","Alamo","COMPACT (Hyundai i30 STW (CWMR))","31/05/2023","03/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","Drive On","COMPACT (Opel Astra SW (CWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","19,48 €","58,44 €"
"DiscoverCars","Right Cars","COMPACT (Renault Megane STW (CWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","19,72 €","59,15 €"
"DiscoverCars","Greenmotion","COMPACT (Fiat Tipo STW (CWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","18,33 €","54,99 €"
"DiscoverCars","Drivalia","COMPACT (Seat Leon STW (CWMD))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","28,21 €","84,63 €"
"DiscoverCars","Berent","INTERMEDIATE (Renault Megane Grandtour (IWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","19,46 €","58,37 €"
"DiscoverCars","Carwiz","COMPACT (Fiat Tipo STW (CWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","16,58 €","49,74 €"
"DiscoverCars","Crc","COMPACT (Peugeot 308 STW (CWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","58,11 €","174,34 €"
"DiscoverCars","Movyng","COMPACT (Ford Focus STW (CWMD))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","80,85 €","242,56 €"
"DiscoverCars","Rentauto","INTERMEDIATE (Peugeot 308 SW Estate (IWMV))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","54,05 €","162,14 €"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMV))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","60,09 €","180,28 €"
"DiscoverCars","Keddy","COMPACT (Peugeot 308 STW (CWMD))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","44,90 €","134,71 €"
"DiscoverCars","Golfauto","COMPACT (Ford Focus STW (CWMV))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","60,08 €","180,25 €"
"DiscoverCars","Klass Wagen","COMPACT (Kia Ceed STW (CWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","17,64 €","52,91 €"
"DiscoverCars","Europcar","COMPACT (Renault Megane STW (CWMD))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","46,96 €","140,88 €"
