Location,From Day,To Day,Shop Day,Category,sipp code,Season ,Tether Off Shop Day,
Athens,1,2,4,Mini (Suzuki Celerio),mdmr,Low,143%,
Athens,3,3,4,Mini (Suzuki Celerio),mdmr,Low,119%,
Athens,4,6,4,Mini (Suzuki Celerio),mdmr,Low,100%,
Athens,7,7,7,Mini (Suzuki Celerio),mdmr,Low,100%,
Athens,8,13,7,Mini (Suzuki Celerio),mdmr,Low,102%,
Athens,14,14,14,Mini (Suzuki Celerio),mdmr,Low,100%,
Athens,15,21,14,Mini (Suzuki Celerio),mdmr,Low,150%,
Athens,22,29,14,Mini (Suzuki Celerio),mdmr,Low,150%,
Athens,30, max ,14,Mini (Suzuki Celerio),mdmr,Low,243%,
Athens,1,2,4,Economy (Fiat Panda),ecmr,Low,145%,
Athens,3,3,4,Economy (Fiat Panda),ecmr,Low,121%,
Athens,4,6,4,Economy (Fiat Panda),ecmr,Low,100%,
Athens,7,7,7,Economy (Fiat Panda),ecmr,Low,100%,
Athens,8,13,7,Economy (Fiat Panda),ecmr,Low,101%,
Athens,14,14,14,Economy (Fiat Panda),ecmr,Low,100%,
Athens,15,21,14,Economy (Fiat Panda),ecmr,Low,150%,
Athens,22,29,14,Economy (Fiat Panda),ecmr,Low,150%,
Athens,30, max ,14,Economy (Fiat Panda),ecmr,Low,230%,
Athens,1,2,4,Economy (Suzuki Swift),edmr,Low,145%,
Athens,3,3,4,Economy (Suzuki Swift),edmr,Low,121%,
Athens,4,6,4,Economy (Suzuki Swift),edmr,Low,100%,
Athens,7,7,7,Economy (Suzuki Swift),edmr,Low,100%,
Athens,8,13,7,Economy (Suzuki Swift),edmr,Low,101%,
Athens,14,14,14,Economy (Suzuki Swift),edmr,Low,100%,
Athens,15,21,14,Economy (Suzuki Swift),edmr,Low,150%,
Athens,22,29,14,Economy (Suzuki Swift),edmr,Low,150%,
Athens,30, max ,14,Economy (Suzuki Swift),edmr,Low,229%,
Athens,1,2,4,Economy (Suzuki Swift Automatic),edar,Low,123%,
Athens,3,3,4,Economy (Suzuki Swift Automatic),edar,Low,103%,
Athens,4,6,4,Economy (Suzuki Swift Automatic),edar,Low,100%,
Athens,7,7,7,Economy (Suzuki Swift Automatic),edar,Low,100%,
Athens,8,13,7,Economy (Suzuki Swift Automatic),edar,Low,138%,
Athens,14,14,14,Economy (Suzuki Swift Automatic),edar,Low,100%,
Athens,15,21,14,Economy (Suzuki Swift Automatic),edar,Low,100%,
Athens,22,29,14,Economy (Suzuki Swift Automatic),edar,Low,100%,
Athens,30, max ,14,Economy (Suzuki Swift Automatic),edar,Low,316%,
Athens,1,2,4,Compact (Suzuki Baleno),ccmr,Low,128%,
Athens,3,3,4,Compact (Suzuki Baleno),ccmr,Low,107%,
