SIPP,PickupDateFrom,PickupLocationCode,Duration,CurrentSellPrice,Netrate
DDMR,3/09/2023,Porto Airport,24,17.29,16.8
DDMR,3/09/2023,Porto Airport,28,17.29,17.6
DDMR,3/09/2023,Porto Airport,22,17.29,16.8
DDMR,3/09/2023,Porto Airport,13,16.93,12
DDMR,3/09/2023,Porto Airport,18,17.29,16.1
CGAR,4/09/2023,Porto Airport,4,33.21,16.5
CGAR,4/09/2023,Porto Airport,23,31.57,26.3
CGAR,4/09/2023,Porto Airport,25,31.57,26.3
CGAR,4/09/2023,Porto Airport,22,31.57,26.3
DDMR,3/09/2023,Porto Airport,31,17.29,17.6
DDMR,3/09/2023,Porto Airport,6,19.26,12.3
DDMR,3/09/2023,Porto Airport,14,17.29,12
DDMR,3/09/2023,Porto Airport,1,31.55,12.8
DDMR,3/09/2023,Porto Airport,19,17.29,16.1
DDMR,3/09/2023,Porto Airport,25,17.29,16.8
DDMR,3/09/2023,Porto Airport,3,19.88,12.8
DDMR,3/09/2023,Porto Airport,5,19.26,12.3
DDMR,3/09/2023,Porto Airport,27,17.29,16.8
DDMR,3/09/2023,Porto Airport,11,16.93,12
DDMR,3/09/2023,Porto Airport,4,19.88,12.3
DDMR,3/09/2023,Porto Airport,29,17.29,17.6
MDMR,5/09/2023,Porto Airport,13,14.82,6.8
SFMR,6/09/2023,Porto Airport,18,22.51,19
SFMR,6/09/2023,Porto Airport,6,24.41,16
MDMR,5/09/2023,Porto Airport,29,15.5,12.6
DDMR,3/09/2023,Porto Airport,10,16.93,12
DDMR,3/09/2023,Porto Airport,7,16.93,12.3
MDMR,5/09/2023,Porto Airport,17,15.5,8.6
MDMR,5/09/2023,Porto Airport,9,14.82,6.8
MDMR,5/09/2023,Porto Airport,21,15.5,9
DDMR,3/09/2023,Porto Airport,30,17.29,17.6
CDAR,3/09/2023,Porto Airport,22,38.58,25.8
CDAR,3/09/2023,Porto Airport,9,44.39,16.5
CDAR,3/09/2023,Porto Airport,8,44.39,16.5
CDAR,3/09/2023,Porto Airport,20,38.58,21
CWMR,4/09/2023,Porto Airport,26,23.05,22.3
CWMR,4/09/2023,Porto Airport,1,46.78,22
CWMR,4/09/2023,Porto Airport,3,32.81,22
CWMR,4/09/2023,Porto Airport,29,23.05,24.3
CWMR,4/09/2023,Porto Airport,12,27.01,18
CWMR,4/09/2023,Porto Airport,17,23.05,23
CWMR,4/09/2023,Porto Airport,4,32.81,17.5
CWMR,4/09/2023,Porto Airport,24,23.05,22.3
CGMR,4/09/2023,Porto Airport,9,17.92,13.8
CGMR,4/09/2023,Porto Airport,10,17.92,13.8
CGMR,4/09/2023,Porto Airport,14,17.71,13.8
CGAR,6/09/2023,Porto Airport,5,47.46,16.5
CGAR,6/09/2023,Porto Airport,1,71.44,18.8
CGAR,6/09/2023,Porto Airport,20,36.98,21.5
CGAR,6/09/2023,Porto Airport,7,42.38,16.5
CGAR,6/09/2023,Porto Airport,26,36.98,26.3
CGAR,6/09/2023,Porto Airport,12,42.38,17
CGAR,6/09/2023,Porto Airport,29,36.98,26.8
CGAR,6/09/2023,Porto Airport,11,42.38,17
CGAR,6/09/2023,Porto Airport,10,42.38,17
CGAR,6/09/2023,Porto Airport,30,36.98,26.8
SFMR,9/09/2023,Porto Airport,28,21.25,21
CGMR,4/09/2023,Porto Airport,20,17.71,15.8
CGMR,4/09/2023,Porto Airport,28,17.71,17.5
CGMR,4/09/2023,Porto Airport,18,17.71,15.8
CGMR,4/09/2023,Porto Airport,15,17.71,15.8
CGMR,4/09/2023,Porto Airport,30,17.71,17.5
DDMR,3/09/2023,Porto Airport,21,17.29,16.8
DDMR,3/09/2023,Porto Airport,17,17.29,16.1
DDMR,3/09/2023,Porto Airport,2,31.55,12.8
DDMR,3/09/2023,Porto Airport,23,17.29,16.8
DDMR,3/09/2023,Porto Airport,15,17.29,16.1
DDMR,3/09/2023,Porto Airport,20,17.29,16.1
DDMR,3/09/2023,Porto Airport,9,16.93,12
DDMR,3/09/2023,Porto Airport,12,16.93,12
DDMR,3/09/2023,Porto Airport,26,17.29,16.8
DDMR,3/09/2023,Porto Airport,16,17.29,16.1
DDMR,3/09/2023,Porto Airport,8,16.93,12
CWMR,3/09/2023,Porto Airport,8,26.24,18
CWMR,3/09/2023,Porto Airport,6,30.71,17.5
DDMR,4/09/2023,Porto Airport,24,17.21,16.8
DDMR,4/09/2023,Porto Airport,28,17.21,17.6
DDMR,4/09/2023,Porto Airport,22,17.21,16.8
DDMR,4/09/2023,Porto Airport,13,17.42,12
DDMR,4/09/2023,Porto Airport,18,17.21,16.1
DDMR,4/09/2023,Porto Airport,31,17.21,17.6
DDMR,4/09/2023,Porto Airport,6,21.46,12.3
DDMR,4/09/2023,Porto Airport,14,17.21,12
DDMR,4/09/2023,Porto Airport,1,29.62,12.8
CGMR,4/09/2023,Porto Airport,13,17.92,13.8
SFMR,9/09/2023,Porto Airport,5,26.35,16
CGMR,4/09/2023,Porto Airport,5,21.96,13.3
CDAR,4/09/2023,Porto Airport,2,55.99,18.3
CDAR,4/09/2023,Porto Airport,26,31.07,25.8
CDAR,4/09/2023,Porto Airport,17,31.07,21
CDAR,4/09/2023,Porto Airport,23,31.07,25.8
SFMR,9/09/2023,Porto Airport,17,21.25,19
CDAR,4/09/2023,Porto Airport,14,31.07,16.5
CGAR,9/09/2023,Porto Airport,7,28.88,16.5
SFMR,15/09/2023,Porto Airport,26,23.23,20.8
SFMR,22/09/2023,Porto Airport,26,20.83,20.8
MCMR,3/09/2023,Porto Airport,8,14.23,6.6
SFMR,11/09/2023,Porto Airport,26,22.51,20.8
CGAR,9/09/2023,Porto Airport,26,31.57,26.3
SFMR,18/09/2023,Porto Airport,26,21.78,20.8
SFMR,29/09/2023,Porto Airport,27,20.83,20.8
SFMR,11/09/2023,Porto Airport,28,22.51,21
SFMR,18/09/2023,Porto Airport,28,21.78,21
DDMR,6/09/2023,Porto Airport,24,18.26,16.8
MCMR,3/09/2023,Porto Airport,16,14.59,8.4
DDMR,6/09/2023,Porto Airport,28,18.26,17.6
DDMR,6/09/2023,Porto Airport,22,18.26,16.8
MCMR,3/09/2023,Porto Airport,21,14.59,8.7
DDMR,6/09/2023,Porto Airport,13,16.93,12
DDMR,6/09/2023,Porto Airport,18,18.26,16.1
CDAR,4/09/2023,Porto Airport,27,31.07,25.8
CDAR,4/09/2023,Porto Airport,16,31.07,21
CDAR,4/09/2023,Porto Airport,4,32.71,16
CDAR,4/09/2023,Porto Airport,15,31.07,21
DDMR,5/09/2023,Porto Airport,28,18.1,17.6
DDMR,5/09/2023,Porto Airport,22,18.1,16.8
DDMR,6/09/2023,Porto Airport,31,18.26,17.6
DDMR,5/09/2023,Porto Airport,13,17.42,12
DDMR,5/09/2023,Porto Airport,18,18.1,16.1
DDMR,5/09/2023,Porto Airport,31,18.1,17.6
DDMR,5/09/2023,Porto Airport,6,20.68,12.3
DDMR,5/09/2023,Porto Airport,14,18.1,12
DDMR,6/09/2023,Porto Airport,6,19.84,12.3
CDAR,4/09/2023,Porto Airport,8,32.7,16.5
MDMR,4/09/2023,Porto Airport,22,14.61,9
MDMR,4/09/2023,Porto Airport,3,16.71,8.1
MDMR,4/09/2023,Porto Airport,23,14.61,9
MDMR,4/09/2023,Porto Airport,13,14.82,6.8
MDMR,4/09/2023,Porto Airport,29,14.61,12.6
MDMR,4/09/2023,Porto Airport,17,14.61,8.6
MDMR,4/09/2023,Porto Airport,9,14.82,6.8
MDMR,4/09/2023,Porto Airport,21,14.61,9
MDMR,4/09/2023,Porto Airport,8,14.82,6.8
MDMR,4/09/2023,Porto Airport,11,14.82,6.8
