ExtractDate,RentalDate,LocationName,LocationCode,VehicleCategoryId,VehicleCategory,BookedCount,AvailableCount,CapacityCount
2/01/2019,1/01/2019,Atlanta,ATL,2,Mavericks,11,1,12
2/01/2019,1/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
3/01/2019,2/01/2019,Atlanta,ATL,2,Mavericks,11,1,12
3/01/2019,2/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
4/01/2019,3/01/2019,Atlanta,ATL,2,Mavericks,7,6,13
4/01/2019,3/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
5/01/2019,4/01/2019,Atlanta,ATL,2,Mavericks,5,8,13
5/01/2019,4/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
6/01/2019,5/01/2019,Atlanta,ATL,2,Mavericks,5,8,13
6/01/2019,5/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
7/01/2019,6/01/2019,Atlanta,ATL,2,Mavericks,4,9,13
7/01/2019,6/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
8/01/2019,7/01/2019,Atlanta,ATL,2,Mavericks,3,10,13
8/01/2019,7/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
9/01/2019,8/01/2019,Atlanta,ATL,2,Mavericks,3,10,13
9/01/2019,8/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
10/01/2019,9/01/2019,Atlanta,ATL,2,Mavericks,3,10,13
10/01/2019,9/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
11/01/2019,10/01/2019,Atlanta,ATL,2,Mavericks,3,10,13
11/01/2019,10/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
12/01/2019,11/01/2019,Atlanta,ATL,2,Mavericks,4,9,13
12/01/2019,11/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
13/01/2019,12/01/2019,Atlanta,ATL,2,Mavericks,4,9,13
13/01/2019,12/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
14/01/2019,13/01/2019,Atlanta,ATL,2,Mavericks,3,9,12
14/01/2019,13/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
15/01/2019,14/01/2019,Atlanta,ATL,2,Mavericks,3,9,12
15/01/2019,14/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
16/01/2019,15/01/2019,Atlanta,ATL,2,Mavericks,2,10,12
16/01/2019,15/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
17/01/2019,16/01/2019,Atlanta,ATL,2,Mavericks,3,9,12
17/01/2019,16/01/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
18/01/2019,17/01/2019,Atlanta,ATL,2,Mavericks,4,8,12
19/01/2019,18/01/2019,Atlanta,ATL,2,Mavericks,7,5,12
20/01/2019,19/01/2019,Atlanta,ATL,2,Mavericks,7,5,12
21/01/2019,20/01/2019,Atlanta,ATL,2,Mavericks,7,5,12
22/01/2019,21/01/2019,Atlanta,ATL,2,Mavericks,6,6,12
23/01/2019,22/01/2019,Atlanta,ATL,2,Mavericks,3,9,12
24/01/2019,23/01/2019,Atlanta,ATL,2,Mavericks,3,9,12
25/01/2019,24/01/2019,Atlanta,ATL,2,Mavericks,3,9,12
26/01/2019,25/01/2019,Atlanta,ATL,2,Mavericks,3,9,12
27/01/2019,26/01/2019,Atlanta,ATL,2,Mavericks,2,10,12
28/01/2019,27/01/2019,Atlanta,ATL,2,Mavericks,2,10,12
29/01/2019,28/01/2019,Atlanta,ATL,2,Mavericks,2,10,12
30/01/2019,29/01/2019,Atlanta,ATL,2,Mavericks,2,10,12
31/01/2019,30/01/2019,Atlanta,ATL,2,Mavericks,2,10,12
1/02/2019,31/01/2019,Atlanta,ATL,2,Mavericks,2,10,12
2/02/2019,1/02/2019,Atlanta,ATL,2,Mavericks,4,8,12
3/02/2019,2/02/2019,Atlanta,ATL,2,Mavericks,4,8,12
4/02/2019,3/02/2019,Atlanta,ATL,2,Mavericks,4,8,12
5/02/2019,4/02/2019,Atlanta,ATL,2,Mavericks,4,8,12
6/02/2019,5/02/2019,Atlanta,ATL,2,Mavericks,3,9,12
7/02/2019,6/02/2019,Atlanta,ATL,2,Mavericks,2,9,11
8/02/2019,7/02/2019,Atlanta,ATL,2,Mavericks,3,8,11
9/02/2019,8/02/2019,Atlanta,ATL,2,Mavericks,5,6,11
10/02/2019,9/02/2019,Atlanta,ATL,2,Mavericks,5,6,11
11/02/2019,10/02/2019,Atlanta,ATL,2,Mavericks,5,6,11
12/02/2019,11/02/2019,Atlanta,ATL,2,Mavericks,7,4,11
13/02/2019,12/02/2019,Atlanta,ATL,2,Mavericks,5,6,11
14/02/2019,13/02/2019,Atlanta,ATL,2,Mavericks,6,5,11
15/02/2019,14/02/2019,Atlanta,ATL,2,Mavericks,6,5,11
16/02/2019,15/02/2019,Atlanta,ATL,2,Mavericks,8,3,11
17/02/2019,16/02/2019,Atlanta,ATL,2,Mavericks,9,2,11
18/02/2019,17/02/2019,Atlanta,ATL,2,Mavericks,8,3,11
18/02/2019,17/02/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
19/02/2019,18/02/2019,Atlanta,ATL,2,Mavericks,7,4,11
19/02/2019,18/02/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
20/02/2019,19/02/2019,Atlanta,ATL,2,Mavericks,5,6,11
20/02/2019,19/02/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
21/02/2019,20/02/2019,Atlanta,ATL,2,Mavericks,5,6,11
21/02/2019,20/02/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
22/02/2019,21/02/2019,Atlanta,ATL,2,Mavericks,6,5,11
22/02/2019,21/02/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
23/02/2019,22/02/2019,Atlanta,ATL,2,Mavericks,9,3,12
23/02/2019,22/02/2019,Atlanta,ATL,9,(US) Big Sur,1,0,1
24/02/2019,23/02/2019,Atlanta,ATL,2,Mavericks,9,3,12
24/02/2019,23/02/2019,Atlanta,ATL,9,(US) Big Sur,1,1,2
25/02/2019,24/02/2019,Atlanta,ATL,2,Mavericks,8,4,12
25/02/2019,24/02/2019,Atlanta,ATL,9,(US) Big Sur,1,1,2
26/02/2019,25/02/2019,Atlanta,ATL,2,Mavericks,7,5,12
26/02/2019,25/02/2019,Atlanta,ATL,9,(US) Big Sur,1,1,2
27/02/2019,26/02/2019,Atlanta,ATL,2,Mavericks,4,8,12
27/02/2019,26/02/2019,Atlanta,ATL,9,(US) Big Sur,1,1,2
28/02/2019,27/02/2019,Atlanta,ATL,2,Mavericks,4,8,12
28/02/2019,27/02/2019,Atlanta,ATL,9,(US) Big Sur,1,1,2
1/03/2019,28/02/2019,Atlanta,ATL,2,Mavericks,4,8,12
1/03/2019,28/02/2019,Atlanta,ATL,9,(US) Big Sur,1,1,2
2/03/2019,1/03/2019,Atlanta,ATL,2,Mavericks,2,10,12
2/03/2019,1/03/2019,Atlanta,ATL,9,(US) Big Sur,1,1,2
3/03/2019,2/03/2019,Atlanta,ATL,2,Mavericks,2,10,12
3/03/2019,2/03/2019,Atlanta,ATL,9,(US) Big Sur,1,1,2
4/03/2019,3/03/2019,Atlanta,ATL,2,Mavericks,2,10,12
