,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,02/06/2023,03/06/2023,04/06/2023,05/06/2023,06/06/2023,07/06/2023,08/06/2023,09/06/2023,10/06/2023,11/06/2023,12/06/2023,13/06/2023,14/06/2023,15/06/2023,16/06/2023,17/06/2023,18/06/2023,19/06/2023,20/06/2023,21/06/2023,22/06/2023,23/06/2023,24/06/2023,25/06/2023,26/06/2023,27/06/2023,28/06/2023,29/06/2023,30/06/2023,01/07/2023,02/07/2023,03/07/2023,04/07/2023,05/07/2023,06/07/2023,07/07/2023,08/07/2023,09/07/2023,10/07/2023,11/07/2023,12/07/2023,13/07/2023,14/07/2023,15/07/2023,16/07/2023,17/07/2023,18/07/2023,19/07/2023
MDMR,60%,88%,85%,79%,65%,59%,66%,66%,56%,66%,66%,80%,70%,65%,70%,65%,65%,70%,65%,65%,60%,60%,65%,65%,65%,65%,70%,70%,70%,60%,40%,35%,30%,20%,25%,35%,40%,40%,50%,65%,65%,65%,70%,75%,60%,75%,70%,60%
ECMR,102%,102%,103%,100%,96%,95%,100%,100%,100%,94%,67%,48%,43%,53%,58%,53%,53%,48%,53%,67%,72%,72%,67%,62%,48%,39%,34%,34%,15%,10%,10%,10%,5%,5%,5%,0%,0%,0%,0%,0%,5%,10%,10%,15%,15%,15%,15%,15%
EDMR,92%,93%,82%,65%,62%,70%,75%,80%,87%,93%,86%,79%,81%,75%,71%,83%,83%,80%,80%,74%,84%,80%,81%,79%,86%,92%,96%,84%,91%,86%,78%,82%,80%,70%,86%,58%,72%,72%,72%,86%,86%,73%,90%,90%,90%,80%,70%,86%
ECAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EDAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NTAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CCMR,102%,98%,98%,97%,81%,60%,50%,41%,34%,30%,32%,28%,19%,14%,19%,20%,20%,34%,30%,34%,35%,35%,41%,40%,40%,29%,27%,25%,16%,13%,12%,11%,10%,10%,9%,9%,16%,16%,20%,20%,20%,22%,24%,28%,26%,24%,19%,16%
CDMR,-,100%,100%,100%,100%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CDAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DDMR,-,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
IDMR,85%,85%,85%,84%,62%,54%,39%,39%,17%,16%,0%,0%,8%,8%,16%,24%,24%,16%,8%,16%,16%,16%,16%,16%,16%,16%,24%,24%,24%,16%,24%,24%,24%,24%,24%,31%,31%,31%,47%,47%,70%,70%,62%,77%,85%,77%,85%,93%
IFMR,100%,92%,92%,100%,100%,100%,100%,93%,92%,84%,75%,75%,84%,84%,84%,67%,67%,92%,86%,92%,100%,100%,100%,92%,92%,91%,91%,80%,80%,80%,70%,70%,70%,70%,70%,60%,70%,50%,40%,40%,40%,30%,30%,30%,30%,30%,30%,30%
IFAR,120%,100%,120%,120%,100%,125%,100%,75%,80%,80%,60%,40%,40%,40%,40%,60%,60%,60%,100%,40%,34%,84%,100%,80%,80%,67%,67%,43%,43%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
JDMR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JDAR,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
SDMR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SDAR,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
SFAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FVMR,67%,100%,100%,67%,100%,100%,67%,67%,34%,0%,0%,34%,34%,34%,34%,34%,34%,0%,0%,34%,34%,34%,34%,34%,34%,34%,34%,34%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
