,Mid-Season,,,,,,,,,,,,,,High-Season,,,,,,,,,,,,,,Low-Season,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clustering,MIN MAX,LoK,1,2,3,4,5,6,7--13,14-27,28+,,,Clustering,MIN MAX,LoK,1,2,3,4,5,6,7--13,14-27,28+,,,Clustering,MIN MAX,LoK,1,2,3,4,5,6,7--13,14-27,28+
Economy,Constraint,,,,,,,,,,,,,Economy,Constraint,,,,,,,,,,,,,Economy,Constraint,,,,,,,,,,
B1,,,,,,,,,,,,,,B1,,,,,,,,,,,,,,B1,,,,,,,,,,,
,B1,,65,59,55,52,50,48,46,39,33,,,,B1,,90,81,77,72,69,66,63,54,45,,,,B1,,40,36,34,32,31,29,28,24,20
,,,350,315,298,280,268,257,245,210,175,,,,,,500,450,425,400,383,367,350,300,250,,,,,,200,180,170,160,153,147,140,120,100
Compact,,,,,,,,,,,,,,Compact,,,,,,,,,,,,,,Compact,,,,,,,,,,,
R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,
,R,,75,67,64,60,57,55,52,45,37,,,,R,,104,93,88,83,79,76,72,62,52,,,,R,,46,41,39,37,35,34,32,28,23
,,,403,362,342,322,308,295,282,242,201,,,,,,575,518,489,460,440,421,403,345,288,,,,,,230,207,196,184,176,169,161,138,115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,V,,91,82,77,73,70,67,64,55,46,,,,V,,126,113,107,101,97,92,88,76,63,,,,V,,56,50,48,45,43,41,39,34,28
,,,490,441,417,392,375,359,343,294,245,,,,,,700,630,595,560,536,513,490,420,350,,,,,,280,252,238,224,214,205,196,168,140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STW,,,,,,,,,,,,,,STW,,,,,,,,,,,,,,STW,,,,,,,,,,,
J,J,,85,76,72,68,65,62,59,51,42,,,J,J,,117,105,99,94,90,86,82,70,59,,,J,J,,52,47,44,42,40,38,36,31,26
,,,455,410,387,364,349,334,319,273,228,,,,,,650,585,553,520,498,476,455,390,325,,,,,,260,234,221,208,199,191,182,156,130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,K,,104,94,88,83,80,76,73,62,52,,,K,K,,144,130,122,115,110,106,101,86,72,,,K,K,,64,58,54,51,49,47,45,38,32
,,,560,504,476,448,429,410,392,336,280,,,,,,800,720,680,640,613,586,560,480,400,,,,,,320,288,272,256,245,235,224,192,160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUV,,,,,,,,,,,,,,SUV,,,,,,,,,,,,,,SUV,,,,,,,,,,,
Z,Z,,78,70,66,62,60,57,55,47,39,,,Z,Z,,108,97,92,86,83,79,76,65,54,,,Z,Z,,48,43,41,38,37,35,34,29,24
,,,420,378,357,336,322,308,294,252,210,,,,,,600,540,510,480,460,440,420,360,300,,,,,,200,180,170,160,153,147,140,120,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q,Q,,114,102,97,91,87,83,80,68,57,,,Q,Q,,158,142,134,126,121,115,110,95,79,,,Q,Q,,70,63,60,56,54,51,49,42,35
,,,613,551,521,490,469,449,429,368,306,,,,,,875,788,744,700,670,641,613,525,438,,,,,,350,315,298,280,268,257,245,210,175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I,,130,117,111,104,100,95,91,78,65,,,,I,,180,162,153,144,138,132,126,108,90,,,,I,,80,72,68,64,61,59,56,48,40
