Mid-Season,1,65,350,75,403,91,490,85,455,104,560,78,420,114,613,130,700,146,788,179,963,179,963,146,788,195,1050
Mid-Season,2,59,315,67,362,82,441,76,410,94,504,70,378,102,551,117,630,132,709,161,866,161,866,132,709,176,945
Mid-Season,3,55,298,64,342,77,417,72,387,88,476,66,357,97,521,111,595,124,669,152,818,152,818,124,669,166,893
Mid-Season,4,52,280,60,322,73,392,68,364,83,448,62,336,91,490,104,560,117,630,143,770,143,770,117,630,156,840
Mid-Season,5,50,268,57,308,70,375,65,349,80,429,60,322,87,469,100,536,112,603,137,737,137,737,112,603,149,804
Mid-Season,6,48,257,55,295,67,359,62,334,76,410,57,308,83,449,95,513,107,577,131,706,131,706,107,577,143,770
Mid-Season,7--13,46,245,52,282,64,343,59,319,73,392,55,294,80,429,91,490,102,551,125,674,125,674,102,551,137,735
Mid-Season,14-27,39,210,45,242,55,294,51,273,62,336,47,252,68,368,78,420,88,473,107,578,107,578,88,473,117,630
Mid-Season,28+,33,175,37,201,46,245,42,228,52,280,39,210,57,306,65,350,73,394,89,481,89,481,73,394,98,525
High-Season,1,90,500,104,575,126,700,117,650,144,800,108,600,158,875,180,1000,225,1250,270,1500,270,1500,225,1250,315,1750
High-Season,2,81,450,93,518,113,630,105,585,130,720,97,540,142,788,162,900,203,1125,243,1350,243,1350,203,1125,284,1575
High-Season,3,77,425,88,489,107,595,99,553,122,680,92,510,134,744,153,850,191,1063,230,1275,230,1275,191,1063,268,1488
High-Season,4,72,400,83,460,101,560,94,520,115,640,86,480,126,700,144,800,180,1000,216,1200,216,1200,180,1000,252,1400
High-Season,5,69,383,79,440,97,536,90,498,110,613,83,460,121,670,138,766,172,958,207,1149,207,1149,172,958,241,1341
High-Season,6,66,367,76,421,92,513,86,476,106,586,79,440,115,641,132,733,165,916,198,1100,198,1100,165,916,231,1283
High-Season,7--13,63,350,72,403,88,490,82,455,101,560,76,420,110,613,126,700,158,875,189,1050,189,1050,158,875,221,1225
High-Season,14-27,54,300,62,345,76,420,70,390,86,480,65,360,95,525,108,600,135,750,162,900,162,900,135,750,189,1050
High-Season,28+,45,250,52,288,63,350,59,325,72,400,54,300,79,438,90,500,113,625,135,750,135,750,113,625,158,875
Low-Season,1,40,200,46,230,56,280,52,260,64,320,48,200,70,350,80,400,90,450,110,550,110,550,80,400,100,500
Low-Season,2,36,180,41,207,50,252,47,234,58,288,43,180,63,315,72,360,81,405,99,495,99,495,72,360,90,450
Low-Season,3,34,170,39,196,48,238,44,221,54,272,41,170,60,298,68,340,77,383,94,468,94,468,68,340,85,425
Low-Season,4,32,160,37,184,45,224,42,208,51,256,38,160,56,280,64,320,72,360,88,440,88,440,64,320,80,400
Low-Season,5,31,153,35,176,43,214,40,199,49,245,37,153,54,268,61,306,69,345,84,421,84,421,61,306,77,383
Low-Season,6,29,147,34,169,41,205,38,191,47,235,35,147,51,257,59,293,66,330,81,403,81,403,59,293,73,367
Low-Season,7--13,28,140,32,161,39,196,36,182,45,224,34,140,49,245,56,280,63,315,77,385,77,385,56,280,70,350
Low-Season,14-27,24,120,28,138,34,168,31,156,38,192,29,120,42,210,48,240,54,270,66,330,66,330,48,240,60,300
Low-Season,28+,20,100,23,115,28,140,26,130,32,160,24,100,35,175,40,200,45,225,55,275,55,275,40,200,50,250
