BatchId,market,rentaldate,pickuplocation,locationcode,vehiclecategory,vehiclecategoryid,totalvehicles,extractdate
51860,UsNativeCampers,3/03/2023,Denver,DENVER,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/03/2023,Denver,DENVER,Smalls Campervan,6,13,3/03/2023
51860,UsNativeCampers,3/03/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/03/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/03/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,13,3/03/2023
51860,UsNativeCampers,3/03/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,14,3/03/2023
51860,UsNativeCampers,3/03/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/03/2023,Salt Lake City,SLC,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/03/2023,Salt Lake City,SLC,Smalls Campervan,6,4,3/03/2023
51860,UsNativeCampers,3/03/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/04/2023,Denver,DENVER,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/04/2023,Denver,DENVER,Smalls Campervan,6,13,3/03/2023
51860,UsNativeCampers,3/04/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/04/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/04/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,13,3/03/2023
51860,UsNativeCampers,3/04/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,14,3/03/2023
51860,UsNativeCampers,3/04/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/04/2023,Salt Lake City,SLC,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/04/2023,Salt Lake City,SLC,Smalls Campervan,6,4,3/03/2023
51860,UsNativeCampers,3/04/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/05/2023,Denver,DENVER,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/05/2023,Denver,DENVER,Smalls Campervan,6,13,3/03/2023
51860,UsNativeCampers,3/05/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/05/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/05/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,13,3/03/2023
51860,UsNativeCampers,3/05/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,14,3/03/2023
51860,UsNativeCampers,3/05/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/05/2023,Salt Lake City,SLC,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/05/2023,Salt Lake City,SLC,Smalls Campervan,6,4,3/03/2023
51860,UsNativeCampers,3/05/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/06/2023,Denver,DENVER,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/06/2023,Denver,DENVER,Smalls Campervan,6,13,3/03/2023
51860,UsNativeCampers,3/06/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/06/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/06/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,13,3/03/2023
51860,UsNativeCampers,3/06/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,14,3/03/2023
51860,UsNativeCampers,3/06/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/06/2023,Salt Lake City,SLC,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/06/2023,Salt Lake City,SLC,Smalls Campervan,6,4,3/03/2023
51860,UsNativeCampers,3/06/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/07/2023,Denver,DENVER,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/07/2023,Denver,DENVER,Smalls Campervan,6,12,3/03/2023
51860,UsNativeCampers,3/07/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/07/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/07/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,14,3/03/2023
51860,UsNativeCampers,3/07/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,15,3/03/2023
51860,UsNativeCampers,3/07/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/07/2023,Salt Lake City,SLC,Biggie Campervan,7,9,3/03/2023
51860,UsNativeCampers,3/07/2023,Salt Lake City,SLC,Smalls Campervan,6,4,3/03/2023
51860,UsNativeCampers,3/07/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/08/2023,Denver,DENVER,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/08/2023,Denver,DENVER,Smalls Campervan,6,12,3/03/2023
51860,UsNativeCampers,3/08/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/08/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/08/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,14,3/03/2023
51860,UsNativeCampers,3/08/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,15,3/03/2023
51860,UsNativeCampers,3/08/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/08/2023,Salt Lake City,SLC,Biggie Campervan,7,9,3/03/2023
51860,UsNativeCampers,3/08/2023,Salt Lake City,SLC,Smalls Campervan,6,4,3/03/2023
51860,UsNativeCampers,3/08/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/09/2023,Denver,DENVER,Biggie Campervan,7,9,3/03/2023
51860,UsNativeCampers,3/09/2023,Denver,DENVER,Smalls Campervan,6,12,3/03/2023
51860,UsNativeCampers,3/09/2023,Denver,DENVER,Squad Campervan,8,4,3/03/2023
51860,UsNativeCampers,3/09/2023,Denver,DENVER,The Caboose,10,2,3/03/2023
51860,UsNativeCampers,3/09/2023,Las Vegas,LAS VEGAS,Biggie Campervan,7,14,3/03/2023
51860,UsNativeCampers,3/09/2023,Las Vegas,LAS VEGAS,Smalls Campervan,6,15,3/03/2023
51860,UsNativeCampers,3/09/2023,Las Vegas,LAS VEGAS,Squad Campervan,8,6,3/03/2023
51860,UsNativeCampers,3/09/2023,Salt Lake City,SLC,Biggie Campervan,7,10,3/03/2023
51860,UsNativeCampers,3/09/2023,Salt Lake City,SLC,Smalls Campervan,6,4,3/03/2023
51860,UsNativeCampers,3/09/2023,Salt Lake City,SLC,Squad Campervan,8,3,3/03/2023
51860,UsNativeCampers,3/10/2023,Denver,DENVER,Biggie Campervan,7,9,3/03/2023
