car_class,price_change,from_day,to_day,pick_up_month
A-Mini Manual-MDMR (Citroen C1),150,1,1,January
B-Economy Manual-ECMR (Mazda2),150,1,1,January
C-Compact Manual-CDMR (Nissan Tiida),150,1,1,January
N-MINI+Automatic-MDAR (Chevrolet Spark),150,1,1,January
H-Economy Automatic-EDAR (Nissan Micra),150,1,1,January
F-Compact Automatic-CDAR (Nissan Tiida),150,1,1,January
A-Mini Manual-MDMR (Citroen C1),150,1,1,February
B-Economy Manual-ECMR (Mazda2),150,1,1,February
C-Compact Manual-CDMR (Nissan Tiida),150,1,1,February
N-MINI+Automatic-MDAR (Chevrolet Spark),150,1,1,February
H-Economy Automatic-EDAR (Nissan Micra),150,1,1,February
F-Compact Automatic-CDAR (Nissan Tiida),150,1,1,February
A-Mini Manual-MDMR (Citroen C1),150,1,1,March
B-Economy Manual-ECMR (Mazda2),150,1,1,March
C-Compact Manual-CDMR (Nissan Tiida),150,1,1,March
N-MINI+Automatic-MDAR (Chevrolet Spark),150,1,1,March
H-Economy Automatic-EDAR (Nissan Micra),150,1,1,March
F-Compact Automatic-CDAR (Nissan Tiida),150,1,1,March
A-Mini Manual-MDMR (Citroen C1),150,1,1,April
B-Economy Manual-ECMR (Mazda2),150,1,1,April
C-Compact Manual-CDMR (Nissan Tiida),150,1,1,April
N-MINI+Automatic-MDAR (Chevrolet Spark),150,1,1,April
H-Economy Automatic-EDAR (Nissan Micra),150,1,1,April
F-Compact Automatic-CDAR (Nissan Tiida),150,1,1,April
A-Mini Manual-MDMR (Citroen C1),150,1,1,May
B-Economy Manual-ECMR (Mazda2),150,1,1,May
C-Compact Manual-CDMR (Nissan Tiida),150,1,1,May
N-MINI+Automatic-MDAR (Chevrolet Spark),150,1,1,May
H-Economy Automatic-EDAR (Nissan Micra),150,1,1,May
F-Compact Automatic-CDAR (Nissan Tiida),150,1,1,May
A-Mini Manual-MDMR (Citroen C1),150,1,1,June
B-Economy Manual-ECMR (Mazda2),150,1,1,June
C-Compact Manual-CDMR (Nissan Tiida),150,1,1,June
N-MINI+Automatic-MDAR (Chevrolet Spark),150,1,1,June
H-Economy Automatic-EDAR (Nissan Micra),150,1,1,June
F-Compact Automatic-CDAR (Nissan Tiida),150,1,1,June
A-Mini Manual-MDMR (Citroen C1),150,1,1,July
B-Economy Manual-ECMR (Mazda2),150,1,1,July
C-Compact Manual-CDMR (Nissan Tiida),150,1,1,July
N-MINI+Automatic-MDAR (Chevrolet Spark),150,1,1,July
H-Economy Automatic-EDAR (Nissan Micra),150,1,1,July
