Region,Location,Season,Category,Current Utilization,Forecast Utilization,Duration,Competitor Rate,Recommend Rate,Current Rate
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,1,€70.44,70.94,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,2,€70.44,70.94,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,3,€70.44,50.44,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,4,€70.44,50.44,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,5,€70.44,48.52,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,6,€70.44,48.52,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,7,€70.44,45.26,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,8,€70.44,45.26,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,9,€70.44,45.26,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,10,€70.44,45.26,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,11,€70.44,45.26,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,12,€70.44,45.26,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,13,€70.44,45.26,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,14,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,15,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,16,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,17,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,18,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,19,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,20,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,21,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,22,€70.44,44.58,70.94
