selection1_name,selection1_url,selection1_address,selection1_date,selection1_Category
APO 4 Kids Move & Groove,https://www.eventfinda.co.nz/2023/apo-apo-kids-move-groove/auckland/takapuna?utm_source=ft_browse&utm_medium=banner&utm_campaign=Featured%2BBrowse,"Bruce Mason Centre, Takapuna, Auckland",Saturday 6 May 10:00am,
Dai Henwood & Friends,https://www.eventfinda.co.nz/2023/dai-henwood-friends/auckland/kingsland,"The Kingslander, Kingsland, Auckland",Today 7:30pm,Comedy
Creative Jazz Club: Michael Gianan Quartet,https://www.eventfinda.co.nz/2023/creative-jazz-club-michael-gianan-quartet/auckland,"Anthology Lounge, CBD, Auckland",Today 8:00pm,Jazz
Red White and Brass,https://www.eventfinda.co.nz/2023/red-white-and-brass2/auckland/papakura,"Hawkins Theatre, Papakura, Auckland",Today 10:00am,Film
Shackleton: The Greatest Story of Survival,https://www.eventfinda.co.nz/2023/shackleton-the-greatest-story-of-survival/auckland/papakura,"Hawkins Theatre, Papakura, Auckland",Today 7:30pm,Film
My Neighbour Adolf,https://www.eventfinda.co.nz/2023/my-neighbour-adolf/auckland/papakura,"Hawkins Theatre, Papakura, Auckland",Today 12:30pm,Film
Big Wednesday ... Fresh Comedy in 2023,https://www.eventfinda.co.nz/2023/big-wednesday-fresh-comedy-in-2023/auckland,"The Classic Comedy Club, CBD, Auckland",Today 7:30pm,Comedy
Revelry's Fresh Live Comedy,https://www.eventfinda.co.nz/2023/revelrys-fresh-live-comedy3/auckland/ponsonby,"Revelry, Ponsonby, Auckland",Today 7:45pm,Comedy
The Lighthouse Keeper's Lunch – Live On Stage,https://www.eventfinda.co.nz/2023/the-lighthouse-keepers-lunch-live-on-stage/auckland/mangere,"Māngere Arts Centre - Ngā Tohu o Uenuku, Mangere, Auckland",Today 10:30am,Theatre
Social Indoor Volleyball - Full Court Mixed 6s - From ACVC,https://www.eventfinda.co.nz/2022/social-indoor-volleyball-full-court-mixed-6s-from-acvc/auckland/mt-roskill,"Lynfield College, Mt Roskill, Auckland",Today 7:00pm,Volleyball
Audioculture Presents: Gareth Shute - Music and New Zealand,https://www.eventfinda.co.nz/2023/audioculture-presents-gareth-shute-music-and-new-zealand/auckland,"Whare Wānanga, CBD, Auckland",Today 12:00pm,Public Talks & Tours
Business Club at The Village,https://www.eventfinda.co.nz/2023/business-club/auckland/herne-bay,"The Village NZ, Herne Bay, Auckland",Today 5:00pm,Business & Professional
Art Collective Project with Watercolour Artist Linda Wills,https://www.eventfinda.co.nz/2023/art-collective-project-with-watercolour-artist-linda-wills2/auckland/onehunga,"Shiloh Creative Life Centre, Onehunga, Auckland",Tue 2 May 10:00am,Family & Lifestyle
Happy Hour Hot Yoga,https://www.eventfinda.co.nz/2023/happy-hour-hot-yoga9/auckland,"Hot Yoga Works Britomart, CBD, Auckland",Today 9:30am,Mind & Body
The Big Bike Film Night - Avondale,https://www.eventfinda.co.nz/2023/the-big-bike-film-night-avondale/auckland/avondale,"The Hollywood Avondale, Avondale, Auckland",Today 7:00pm,Cycling
Nikola Memedovic Jazz Piano Concert,https://www.eventfinda.co.nz/2023/nikola-memedovic-jazz-piano-concert/auckland/remuera,"Lewis Eady, Remuera, Auckland",Today 7:30pm,Jazz
Strike Up The Band!,https://www.eventfinda.co.nz/2023/strike-up-the-band/auckland/orewa,"Centrestage Theatre, Orewa, Auckland",Today 11:00am,Theatre
Auckland Paint and Wine Night - Matisse Landscape,https://www.eventfinda.co.nz/2023/auckland-paint-and-wine-night-matisse-landscape/auckland/mission-bay,"Good George, Mission Bay, Auckland",Today 7:00pm,"Food, Gourmet, Wine"
Dakota of the White Flats presented by Red Leap Theatre,https://www.eventfinda.co.nz/2023/dakota-of-the-white-flats-presented-by-red-leap-theatre/auckland,"Q Theatre, CBD, Auckland",Today 7:30pm,Theatre
Hip Hop Beginner Adults Open Class,https://www.eventfinda.co.nz/2023/hip-hop-beginner-adults-open-class3/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 6:45pm,Dance
"Hip Hop, Hair N Heels 16+",https://www.eventfinda.co.nz/2023/hip-hop-hair-heels-162/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 6:00pm,Dance
Heels Beginner 16+ Open Dance Class,https://www.eventfinda.co.nz/2023/heels-beginner-16-open-dance-class2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 6:00pm,Dance
Femme Power Open Class at Empire,https://www.eventfinda.co.nz/2023/femme-power-open-class-at-empire2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 7:30pm,Dance
Barre Fit Open Class at Empire,https://www.eventfinda.co.nz/2023/barre-fit-open-class-at-empire2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 6:00pm,Dance
Modern Broadway - Musical Theatre Open Dance Class,https://www.eventfinda.co.nz/2023/modern-broadway-musical-theatre-open-dance-class3/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 6:45pm,Dance
Be More Chill,https://www.eventfinda.co.nz/2023/be-more-chill/auckland/orewa,"Centrestage Theatre, Orewa, Auckland",Today 7:30pm,Musicals
Wednesday Quiz Night,https://www.eventfinda.co.nz/2023/wednesday-quiz-night/auckland/takapuna,"The Elephant Wrestler, Takapuna, Auckland",Today 6:30pm,"Quiz, Karaoke"
School of Rock - the Musical,https://www.eventfinda.co.nz/2023/school-of-rock-the-musical/auckland/howick,"Harlequin Musical Theatre, Howick, Auckland",Today 7:30pm,Musicals
Boteco Beats with Juliana Sian & Guests + Bobby Brazuka,https://www.eventfinda.co.nz/2023/boteco-beats-with-juliana-sian-guests-bobby-brazuka/auckland/ponsonby,"Ponsonby Social Club, Ponsonby, Auckland",Today 7:00pm,Latin
Highwic Coal Range Baking Days,https://www.eventfinda.co.nz/2023/highwic-coal-range-baking-days/auckland/epsom,"Highwic, Epsom, Auckland",Today 11:00am,Family Entertainment
Junior Ballet Dance Class 4-6yrs,https://www.eventfinda.co.nz/2023/junior-ballet-dance-class-4-6yrs3/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 4:00pm,Dance
Jazz Funk Dance Class 5-7yrs,https://www.eventfinda.co.nz/2023/jazz-funk-dance-class-5-7yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 4:00pm,Dance
Jazz Funk Dance Class 8-10yrs,https://www.eventfinda.co.nz/2023/jazz-funk-dance-class-8-10yrs3/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 4:00pm,Dance
Junior Ballet Dance Class 7-9yrs,https://www.eventfinda.co.nz/2023/junior-ballet-dance-class-7-9yrs3/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 4:45pm,Dance
Lyrical Dance Class 5-7yrs,https://www.eventfinda.co.nz/2023/lyrical-dance-class-5-7yrs2/auckland/grey-lynn,"Empire Studios, Grey Lynn, Auckland",Today 4:45pm,Dance
