ClientCarName,ModelName,Transmission,CarType
Group B Premium Hybrid,Mid Size Premium Hybrid,,Car
Standard Minibus 12 seats,Toyota Hiace Jumbo,,Car
Group E: Premium Hybrid SUV,2021 Toyota RAV 4 Limited Hybrid SUV,,Car
Group C,"Toyota Camry, Nissan Teanna or Toyota Ipsum",,Car
Group P,Toyota Estima or similar,,Car
Cheap and Cheerful,"Budget models, higher kms",,Car
Mitsubishi ASX,,,Car
Group D4WD,Subaru Legacy or Outback 3.0L Station Wagon,,Car
Nissan X-Trail,Nissan X-Trail or Similar,,Car
Group 2WD SUV,Toyota Highlander or Similar,,Car
Subaru XV,,,Car
Hybrid Wagon,Toyota Corolla or similar,,Car
Group A - Premium,Newer Vehicle Barina / Vitz / Rio or similar Compact hatch Bluetooth & USB Economic & Comfortable,,Car
Group M,Toyota HiAce,,Car
Cheap & Cheerful  A,Toyota Corolla or Mazda Demio,,Car
Hybrid Compact,Toyota Aqua or similar,,Car
Cargo Van,"Toyota Hiace or similar, no rear seats, 100km free kms per day",,Car
Toyota Highlander,,,Car
Group M12,Toyota HiAce 12 Seater Automatic Van,,Car
Group 4X4,Nissan Murano AWD. Ample luggage space and can be used as a station wagon.,,Car
Budget Station Wagon/Estate,Nissan Wingroad or similar,,Car
Group R Sports GT Stinger Prem,Kia Stinger GT 3.3,,Car
Budget 4WD: Station Wagon,Subaru Legacy 4WD or similar,,Car
Group B - Premium,"Kia Cerato, Toyota Corolla or Similar",,Car
Toyota Corolla Hatch,Toyota Corolla Hatch or Similar,,Car
2-Tonne Truck,100 free kms per day,,Car
Group B,"Toyota Corolla, Allion, or Blade, Nissan Sylphy, Mitsubishi Lancer",,Car
Cheap & Cheerfull  B,"Popular four door sedans that run well and ride comortably,",,Car
Budget Stationwagon,Toyota Wish or similar (older model),,Car
Budget Compact,Toyota Vitz or similar,,Car
Group B Hybrid hatch,Toyota Prius Alpha Hybrid. Medium size Hybrid hatch with good luggage space.,,Car
Group A,"Mazda Demio, Nissan Note, or similar",,Car
Premium RV4WD,"Toyota RAV4 AWD, 2017 - 2018 Model",,Car
Group D,"Nissan Wingroad, Toyota Wish or similar",,Car
Group P,"Toyota Estima, Toyota Alphard, Mitsubishi Delica or Nissan Serena",,Car
Group A - Budget,"Toyota Vitz, Getz or similar <br />Higher km and slightly older vehicles <br />Reliable solution for budget minded",,Car
Group PX,Older model Toyota Estima or similar,,Car
Toyota Corolla Sedan,Toyota Corolla Sedan or Similar,,Car
Premium Minibus 12 Seats,Toyota Hiace Jumbo (diesel),,Car
Group D,"Toyota Avensis, Toyota Ipsum",,Car
Budget 8 Seat MPV,Toyota Estima or similar (older model),,Car
Group C Premium,Mitsubishi Lancer 2L,,Car
Group P4WD: People Mover 4x4,4WD Toyota Estima 8 Seat or similar,,Car
Group M12,Toyota HiAce or Similar,,Car
Premuim SUV - Mid Size,"Mitsubishi ASX, Nissan X-Trail, Toyota Rav or similar",,Car
Standard Mid Size,Nissan Pulsar or similar,,Car
Luggage Trailer,,,Car
Group M10 Minibus,"Group M10 Minibus, Toyota Hi Ace 10 Seats.",,Car
Group 4WD - Large,Toyota Highlander or Similar,,Car
Group P: People Mover,Toyota Estima 8 Seat or similar,,Car
Group B,"Toyota Yaris, Nissan Tiida or similar",,Car
Group P Premium People Mover,"8 Seat Premium People Mover, Toyota Previa or similar",,Car
Toyota Previa,,,Car
Group T,Luggage Trailer,,Car
Group E:  Budget SUV,"Mitsubishi Outlander, Toyota Highlander or similar",,Car
Budget RV4WD: Mid Size 4x4,Nissan X-Trail or Similar,,Car
Suzuki Swift,,,Car
Caged Trailer,,,Car
Group A - Premium Hybrid,Toyota Aqua Hybrid or similar Roomy and comfortable Modern features including bluetooth & fuel efficient,,Car
Budget Mid Size,Nissan Tiida or similar,,Car
Budget SUV,Mitsubishi Outlander or similar (older model),,Car
Group Small SUV Premium,2WD Small SUV Suzuki's,,Car
Group E: Premium SUV - Large,Toyota Highlander or Similar,,Car
Toyota Hiace,,,Car
Budget Compact,Nissan Note or similar (older model),,Car
Group M: Minibus,Toyota Hiace 12 Seat or similar,,Car
Standard SUV,Nissan X-Trail 2WD or similar,,Car
Mitsubishi Outlander,Mitsubishi Outlander or Similar,,Car
3-Tonne Truck,100 free kms per day,,Car
Group MX,"Tidy, comfortable Toyota HiAce,",,Car
Group C Premium Hybrid,Toyota Prius Hybrid or similar <br />Roomy and comfortable with a large luggage capacity <br />Fuel efficient,,Car
Subaru Legacy,Subaru Legacy or Similar,,Car
Group B,Nissan Tiida / Toyota Corolla or similar,,Car
