Channel,CompanyName,CarName,ModelName,Transmission,CarType,Client Matching Car
Direct,Snap NZ,Toyota Corolla,,Automatic,Car,
Direct,Snap NZ,Toyota Corolla Wagon,,Automatic,Car,
Direct,Snap NZ,Škoda Kamiq,,Automatic,Car,
Direct,Snap NZ,Toyota RAV-4*,,Automatic,Car,
Direct,Snap NZ,Toyota Camry,,Automatic,Car,
Direct,Snap NZ,Toyota Highlander,,Automatic,Car,
Direct,Snap NZ,Toyota RAV-4*,,Automatic,Car,
Direct,Snap NZ,Toyota Corolla,,Automatic,Car,
Direct,Snap NZ,Suzuki Jimny,,Automatic,Car,
Direct,Snap NZ,Toyota Aqua,,Automatic,Car,
Direct,Snap NZ,Toyota Vitz,,Automatic,Car,
Direct,Snap NZ,Toyota Yaris,,Automatic,Car,
Direct,Snap NZ,Toyota Corolla,,Automatic,Car,
Direct,Snap NZ,Mitsubishi ASX*,,Automatic,Car,
Direct,Snap NZ,Suzuki Swift,,Automatic,Car,
Direct,Snap NZ,Škoda Fabia,,Automatic,Car,
Direct,Thrifty NZ,Passenger Van,Toyota Hiace,Automatic,Car,
Direct,Thrifty NZ,Electric Vehicle,Hyundai IONIQ with 200km range,Automatic,Car,
Direct,Thrifty NZ,Compact Auto,"Toyota Corolla, Hyundai Accent",Automatic,Car,
Direct,Thrifty NZ,Luxury Van,Hyundai iMax,Automatic,Car,
Direct,Thrifty NZ,Utility Vehicle with towbar,Isuzu D-Max with towbar,Automatic,Car,
Direct,Thrifty NZ,Compact SUV 2WD,Holden Trax,Automatic,Car,
Direct,Thrifty NZ,Economy Car,Toyota Yaris,Automatic,Car,
Direct,Thrifty NZ,Intermediate SUV 2WD,Mitsubishi Eclipse,Automatic,Car,
Direct,Thrifty NZ,Fullsize AWD,"Toyota Highlander, Nissan Pathfinder",Automatic,Car,
Direct,Thrifty NZ,Intermediate SUV AWD,Toyota RAV4,Automatic,Car,
Direct,Thrifty NZ,Hybrid,FDAH (Toyota Camry Hybrid),Automatic,Car,
Direct,Thrifty NZ,Cargo Van (8 Cubic Metre) (IKAR),Renault Master,Automatic,Car,
Direct,Thrifty NZ,Fullsize Minvan 8 Seater,FVAR (Kia Carnival or similar),Automatic,Car,
Direct,Thrifty NZ,Sport Elite,FSAR (Ford Mustang),Automatic,Car,
Direct,Thrifty NZ,CCMR,Relocation Vehicle,,Car,
Direct,Thrifty NZ,Standard SUV 4WD,SBBR (Suzuki Jimny or similar),Automatic,Car,
Direct,Thrifty NZ,Hybrid (IFAH),Toyota RAV4 Hybrid or similar,Automatic,Car,
Direct,Thrifty NZ,Fullsize SUV 7 Seat AWD (FFDR),Toyota Highlander or similar,Automatic,Car,
Direct,Thrifty NZ,Hybrid (FDAH),Toyota Camry Hybrid,Automatic,Car,
Direct,Thrifty NZ,Compact Suv Hybrid,CFAH (Toyota CHR Hybrid or Similar),Automatic,Car,
Direct,Thrifty NZ,Compact SUV (CFAR),Nissan Qashqai or similar,Automatic,Car,
Direct,Thrifty NZ,Premium 4WD Ute (PQBR),Ford Ranger,Automatic,Car,
Direct,Thrifty NZ,Intermediate Car,Hyundai Sonata Sedan,Automatic,Car,
Direct,Thrifty NZ,Economy,EDAR (Toyota Yaris or similar),Automatic,Car,
Direct,Thrifty NZ,Intermediate SUV AWD,IFDR (Mazda CX-5 or similar),Automatic,Car,
Direct,Thrifty NZ,Economy (EDAR),Toyota Yaris or similar,Automatic,Car,
Direct,Thrifty NZ,Compact,CDAR (Toyota Corolla or similar),Automatic,Car,
Direct,Thrifty NZ,Intermediate SUV 2WD,IFAR (Kia Sportage or similar),Automatic,Car,
Direct,Thrifty NZ,Compact SUV,CFAR (Nissan Qashqai or similar),Automatic,Car,
Direct,Thrifty NZ,Sport Elite (FSAR),Ford Mustang,Automatic,Car,
Direct,Thrifty NZ,Premium 4WD Ute,PQBR (Ford Ranger),Automatic,Car,
Direct,Thrifty NZ,Premium SUV 4WD (PFBR),Mitsubishi Pajero Sport or similar,Automatic,Car,
Direct,Thrifty NZ,Premium 4WD,Toyota Prado,Automatic,Car,
Direct,Thrifty NZ,Commercial Van (6 Cubic Metre),CKAR (Hiace ZR Cargo Van),Automatic,Car,
Direct,Thrifty NZ,Minbus (12 Seat),PVAR (Toyota Hiace Bus),Automatic,Car,
Direct,Thrifty NZ,Hybrid,FFDH (Toyota Highlander Hybrid),Automatic,Car,
Direct,Thrifty NZ,Cargo Van,Toyota Hiace,Automatic,Car,
Direct,Thrifty NZ,Fullsize Minvan 8 Seater (FVAR),Kia Carnival or similar,Automatic,Car,
Direct,Thrifty NZ,Cargo Van (8 Cubic Metre),IKAR (Renault Master),Automatic,Car,
Direct,Thrifty NZ,Fullsize Car,Holden Commodore,Automatic,Car,
Direct,Thrifty NZ,Hybrid,IFAH (Toyota RAV4 Hybrid or similar),Automatic,Car,
Direct,Thrifty NZ,Small Hatch,NULL,Automatic,Car,
Direct,Thrifty NZ,Compact (CDAR),Toyota Corolla or similar,Automatic,Car,
Direct,Thrifty NZ,Minbus (12 Seat) (PVAR),Toyota Hiace Bus,Automatic,Car,
Direct,Thrifty NZ,Intermediate SUV AWD (IFDR),Mazda CX-5 or similar,Automatic,Car,
Direct,Thrifty NZ,Fullsize SUV 7 Seat AWD,FFDR (Toyota Highlander or similar),Automatic,Car,
Direct,Thrifty NZ,Intermediate SUV 2WD (IFAR),Kia Sportage or similar,Automatic,Car,
