"country_code","os_name","os_version","browser_name","browser_version","browser_language","screen_resolution","device_type","type","path","title","referrer_host","referrer_path","utm_source","utm_medium","utm_campaign","utm_term","utm_content","viewport_width","viewport_height","formatted_date"
"US","Linux","","Chrome","108.0.5359.124","en","1280x3000","desktop","landing_page","/","User session analytics - Simple Site Analytics","","","","","","","","1280","3000","2023-01-07"
"US","iOS","15.6.1","Safari","15.6.1","en","2000x2000","mobile","landing_page","/","User session analytics - Simple Site Analytics","www.facebook.com","/","","","","","","1050","1862","2023-01-07"
"US","Windows","10.0","Chrome","108.0.0.0","en","2000x2000","desktop","landing_page","/","User session analytics - Simple Site Analytics","www.facebook.com","/","","","","","","1050","1907","2023-01-07"
"US","Android","10","Chrome","108.0.5359.79","en","360x640","mobile","landing_page","/","User session analytics - Simple Site Analytics","m.facebook.com","/","","","","","","500","502","2023-01-07"
"US","Android","8.1.0","Facebook","","en","320x569","mobile","landing_page","/","User session analytics - Simple Site Analytics","m.facebook.com","/","","","","","","320","407","2023-01-07"
"US","Windows","10.0","Chrome","108.0.0.0","en","2000x2000","desktop","landing_page","/","User session analytics - Simple Site Analytics","www.facebook.com","/","","","","","","1050","1862","2023-01-08"
"AU","iOS","16.1.1","Safari","16.1","en","320x568","mobile","landing_page","/","User session analytics - Simple Site Analytics","www.google.com","/url","","","","","","320","568","2023-01-08"
"AU","Windows","10.0","Chrome","108.0.0.0","en","1366x768","desktop","landing_page","/","User session analytics - Simple Site Analytics","www.google.com","/","","","","","","1366","768","2023-01-08"
"AU","Android","13","Chrome","108.0.0.0","en","467x1067","mobile","landing_page","/","User session analytics - Simple Site Analytics","www.google.com","/","","","","","","467","1067","2023-01-08"
"US","Android","4.2.1","Chrome","38.0.1025.166","en","384x800","mobile","landing_page","/","User session analytics - Simple Site Analytics","","","","","","","","384","800","2023-01-08"
"AU","Android","10","Chrome","108.0.0.0","en","377x837","mobile","landing_page","/","User session analytics - Simple Site Analytics","","","","","","","","377","706","2023-01-08"
"AU","Android","12","Samsung Internet","19.0","en","360x800","mobile","landing_page","/","User session analytics - Simple Site Analytics","","","","","","","","360","627","2023-01-08"
"AU","Android","","Samsung Internet","19.0","en","800x1334","desktop","landing_page","/","User session analytics - Simple Site Analytics","","","","","","","","980","1431","2023-01-08"
"AU","Android","11","Samsung Internet","19.0","en","360x880","mobile","landing_page","/","User session analytics - Simple Site Analytics","","","","","","","","360","705","2023-01-08"
"AU","Android","","Samsung Internet","19.0","en","800x1280","desktop","landing_page","/","User session analytics - Simple Site Analytics","","","","","","","","0","58764","2023-01-08"
"AU","Android","11","Chrome","108.0.0.0","en","360x780","mobile","landing_page","/","User session analytics - Simple Site Analytics","googleads.g.doubleclick.net","/","","","","","","360","648","2023-01-08"
"ZA","Windows","10.0","Chrome","108.0.0.0","en","1600x900","desktop","landing_page","/","User session analytics - Simple Site Analytics","googleads.g.doubleclick.net","/","","","","","","1600","757","2023-01-08"
"ZA","Android","11","Chrome","108.0.0.0","en","360x800","mobile","landing_page","/","User session analytics - Simple Site Analytics","webrate.org","/","","","","","","360","800","2023-01-08"
"AU","Android","11","Samsung Internet","19.0","en","360x880","mobile","landing_page","/","User session analytics - Simple Site Analytics","","","","","","","","0","58775","2023-01-08"
"US","Android","12","Facebook","","en","339x753","mobile","landing_page","/","User session analytics - Simple Site Analytics","lm.facebook.com","/","","","","","","339","584","2023-01-08"
