,Day_1-1,Day_2-2,Day_3-3,Day_4-4,Day_5-5,Day_6-6,Day_7-7,Day_8-8,Day_9-9,Day_10-10,Day_11-11,Day_12-12,Day_13-13,Day_14-14,Day_15-15,Day_16-16,Day_17-17,Day_18-18,Day_19-19,Day_20-20,Day_21-21,Day_22-22,Day_23-23,Day_24-24,Day_25-25,Day_26-26,Day_27-27,Day_28-30,Day_pick_up_month
A-Mini Manual-MDMR (Citroen C1),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,January
B-Economy Manual-ECMR (Mazda2),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,January
C-Compact Manual-CDMR (Nissan Tiida),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,January
N-MINI+Automatic-MDAR (Chevrolet Spark),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,January
H-Economy Automatic-EDAR (Nissan Micra),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,January
F-Compact Automatic-CDAR (Nissan Tiida),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,January
A-Mini Manual-MDMR (Citroen C1),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,February
B-Economy Manual-ECMR (Mazda2),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,February
C-Compact Manual-CDMR (Nissan Tiida),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,February
N-MINI+Automatic-MDAR (Chevrolet Spark),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,February
H-Economy Automatic-EDAR (Nissan Micra),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,February
F-Compact Automatic-CDAR (Nissan Tiida),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,February
A-Mini Manual-MDMR (Citroen C1),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,March
B-Economy Manual-ECMR (Mazda2),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,March
C-Compact Manual-CDMR (Nissan Tiida),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,March
N-MINI+Automatic-MDAR (Chevrolet Spark),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,March
H-Economy Automatic-EDAR (Nissan Micra),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,March
F-Compact Automatic-CDAR (Nissan Tiida),150,40,0,-10,10,5,0,-1,-2,-3,-4,-5,0,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-10,-10,-10,March
A-Mini Manual-MDMR (Citroen C1),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April
B-Economy Manual-ECMR (Mazda2),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April
C-Compact Manual-CDMR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April
N-MINI+Automatic-MDAR (Chevrolet Spark),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April
H-Economy Automatic-EDAR (Nissan Micra),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April
F-Compact Automatic-CDAR (Nissan Tiida),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April
A-Mini Manual-MDMR (Citroen C1),150,40,0,-10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May
